wikipedia_article,location
http://en.wikipedia.org/wiki/1%20Police%20Plaza,40.712204 -74.001676
http://en.wikipedia.org/wiki/1%20Princes%20Dock,53.4111 -2.9995
http://en.wikipedia.org/wiki/1%20Sheaf%20Square,53.377776 -1.464373
http://en.wikipedia.org/wiki/1%20Snow%20Hill%20Plaza,52.4842297297 -1.89231976404
http://en.wikipedia.org/wiki/1%20Spadina%20Crescent,43.65583071 -79.400498398
http://en.wikipedia.org/wiki/1%20Street%20Southwest/Centre%20Street%20%28C-Train%29,51.0412665016 -114.058499766
http://en.wikipedia.org/wiki/1%20Treasury%20Place,-37.807663436 144.971329448
http://en.wikipedia.org/wiki/1%20Utama,3.14222276444 101.609502562
http://en.wikipedia.org/wiki/1%20Wall%20Street,40.704330516 -74.006999972
http://en.wikipedia.org/wiki/1%20West%20India%20Quay,51.50416465 -0.0194499222
http://en.wikipedia.org/wiki/1%20William%20Street,40.7048 -74.01
http://en.wikipedia.org/wiki/1%20and%202%20Tai%20Cochin,52.2162 -2.2501
http://en.wikipedia.org/wiki/1-800-ASK-GARY%20Amphitheatre,27.99406 -82.364609
http://en.wikipedia.org/wiki/1-800-GOT-JUNK%3F,34.2054775114 -119.025789897
http://en.wikipedia.org/wiki/1.%20FC%20Eschborn,50.137332784 8.556331108
http://en.wikipedia.org/wiki/1.%20FC%20Gera%2003,50.841329968 12.083999664
http://en.wikipedia.org/wiki/1.%20FK%20P%C5%99%C3%ADbram,49.672830642 13.97249611
http://en.wikipedia.org/wiki/1.26%20%28Sculpture%29,39.73583039 -104.98666272
http://en.wikipedia.org/wiki/10%20Admiral%20Grove,53.386831786 -2.956829506
http://en.wikipedia.org/wiki/10%20Downing%20Street,51.503396 -0.12764
http://en.wikipedia.org/wiki/10%20Dundas%20East,43.656761 -79.380727
http://en.wikipedia.org/wiki/10%20East%2040th%20Street,40.751592 -73.981323
http://en.wikipedia.org/wiki/10%20Holloway%20Circus,52.4719081124 -1.90009473294
http://en.wikipedia.org/wiki/10%20Inner%20Harbor,39.283665532 -76.6083309
http://en.wikipedia.org/wiki/10%20Janpath,28.6135 77.2184
http://en.wikipedia.org/wiki/10%20Lafayette%20Square,42.89 -78.87
http://en.wikipedia.org/wiki/10%20May%202010%20Iraq%20attacks,33.3157 44.3922
http://en.wikipedia.org/wiki/10%20Murray%20Street,-42.885005 147.330181
http://en.wikipedia.org/wiki/10%20Palace%20Gate,51.4932980268 -0.1835325992
http://en.wikipedia.org/wiki/10%20South%20LaSalle,41.881608 -87.632715
http://en.wikipedia.org/wiki/10%20Street%20Southwest%20%28C-Train%29,51.041499834 -114.076333028
http://en.wikipedia.org/wiki/10%20Universal%20City%20Plaza%2C%20Universal%20City%2C%20California,34.1361494554 -118.356965239
http://en.wikipedia.org/wiki/10%20Upper%20Bank%20Street,51.50166466 -0.009833294
http://en.wikipedia.org/wiki/100%20Avenue%2C%20Edmonton,53.537997848 -113.668663992
http://en.wikipedia.org/wiki/100%20Bishopsgate,51.50916463 -0.075499698
http://en.wikipedia.org/wiki/100%20Club,51.509664628 -0.1345494618
http://en.wikipedia.org/wiki/100%20East%20Pratt%20Street,39.2869 -76.6127
http://en.wikipedia.org/wiki/100%20First%20Plaza,37.789167 -122.3975
http://en.wikipedia.org/wiki/100%20Front%20Street,42.2626 -71.7994
http://en.wikipedia.org/wiki/100%20McAllister%20Street,37.781 -122.4139
http://en.wikipedia.org/wiki/100%20Mile%20House%20Airport,51.638830778 -121.30416545
http://en.wikipedia.org/wiki/100%20Montgomery%20Street,37.7903 -122.4019
http://en.wikipedia.org/wiki/100%20North%20Central%20Expressway,32.782656 -96.790795
http://en.wikipedia.org/wiki/100%20North%20Main,35.1478 -90.0509
http://en.wikipedia.org/wiki/100%20North%20Main%20Street,36.0999 -80.2442
http://en.wikipedia.org/wiki/100%20North%20Tampa,27.9454 -82.4582
http://en.wikipedia.org/wiki/100%20Oaks%20Mall,36.108895 -86.764076
http://en.wikipedia.org/wiki/100%20Park%20Avenue%20Building,35.467831462 -97.508664632
http://en.wikipedia.org/wiki/100%20Pine%20Center,37.7926 -122.3989
http://en.wikipedia.org/wiki/100%20St%20Georges%20Terrace,-31.9527678556 115.854518249
http://en.wikipedia.org/wiki/100%20Summer%20Street,42.35383 -71.05745
http://en.wikipedia.org/wiki/100%20Washington%20Square,44.975329432 -93.259498962
http://en.wikipedia.org/wiki/100.9%20ZZZ%20FM,-28.816886 153.336033
http://en.wikipedia.org/wiki/1000%20Broadway%20%28Portland%2C%20Oregon%29,45.5167 -122.6809
http://en.wikipedia.org/wiki/1000%20Connecticut%20Avenue,38.9016797266 -77.037416517
http://en.wikipedia.org/wiki/1000%20Lake%20Shore%20Plaza,41.901 -87.6245
http://en.wikipedia.org/wiki/1000%20North%20Water%20Street,43.044084 -87.909878
http://en.wikipedia.org/wiki/1000%20Park%20Avenue,40.779258 -73.958502
http://en.wikipedia.org/wiki/1000%20Second%20Avenue,47.602830922 -122.334665328
http://en.wikipedia.org/wiki/1000%20Sherbrooke,45.5027 73.5751
http://en.wikipedia.org/wiki/1000%20de%20La%20Gaucheti%C3%A8re,45.498243 -73.566274
http://en.wikipedia.org/wiki/1000Fryd,57.0472 9.9201
http://en.wikipedia.org/wiki/1000th-Anniversary%20of%20Polish%20State%20Stadium,50.487487 19.432551
http://en.wikipedia.org/wiki/1001%20Pennsylvania%20Avenue,38.895 -77.0264
http://en.wikipedia.org/wiki/1001%20Woodward,42.3324 -83.0476
http://en.wikipedia.org/wiki/10050%20Cielo%20Drive%2C%20Benedict%20Canyon%2C%20Los%20Angeles,34.089666308 -118.426164962
http://en.wikipedia.org/wiki/100th%20meridian%20east,90.0 100.0
http://en.wikipedia.org/wiki/100th%20meridian%20west,90.0 -100.0
http://en.wikipedia.org/wiki/101%20California%20Street%20%28San%20Francisco%29,37.79285 -122.39793
http://en.wikipedia.org/wiki/101%20Clarendon%20Street,42.3424469635 -71.0710763824
http://en.wikipedia.org/wiki/101%20Collins%20Street,-37.808996764 144.969129457
http://en.wikipedia.org/wiki/101%20Eola%20%28Orlando%2C%20FL%29,28.540928 -81.369521
http://en.wikipedia.org/wiki/101%20Federal%20Street,42.355 -71.0569
http://en.wikipedia.org/wiki/101%20Hudson%20Street,40.716 -74.0351
http://en.wikipedia.org/wiki/101%20Independence%20Center,35.226529 -80.843684
http://en.wikipedia.org/wiki/101%20Montgomery,37.7904 -122.4024
http://en.wikipedia.org/wiki/101%20Park%20Avenue,40.751337 -73.977827
http://en.wikipedia.org/wiki/101%20Park%20Avenue%20Building,35.469 -97.5148
http://en.wikipedia.org/wiki/101%20Second%20Street,37.788139 -122.399056
http://en.wikipedia.org/wiki/101%20Warren%20Street,40.715626 -74.011178
http://en.wikipedia.org/wiki/101%20West%20Ohio,39.768496926 -86.156166042
http://en.wikipedia.org/wiki/101.3%20Sea%20FM,-33.422935 151.399348
http://en.wikipedia.org/wiki/101.5%20FM%20Whistler%2C%20British%20Columbia,50.116168 -122.959423
http://en.wikipedia.org/wiki/101.7%20WSFM,-33.80333012 151.175165966
http://en.wikipedia.org/wiki/1010%20Common,29.952162858 -90.07083305
http://en.wikipedia.org/wiki/1010%20Mass,38.902163058 -77.022833242
http://en.wikipedia.org/wiki/101FM%20%28Brisbane%29,-27.620664184 153.1416661
http://en.wikipedia.org/wiki/101st%20meridian%20east,90.0 101.0
http://en.wikipedia.org/wiki/101st%20meridian%20west,90.0 -101.0
http://en.wikipedia.org/wiki/102%20Petty%20France,51.4998 -0.1345
http://en.wikipedia.org/wiki/102.1%20Bay%20Radio,51.658525 -3.832382
http://en.wikipedia.org/wiki/102.5%20Clyde%201,55.905859 -4.410353
http://en.wikipedia.org/wiki/102.5%20Radio%20Pembrokeshire,51.798951 -4.734672
http://en.wikipedia.org/wiki/1027%20Wilshire%20Boulevard,34.0521 -118.2622
http://en.wikipedia.org/wiki/102nd%20Military%20Base,40.7873418506 43.8220633784
http://en.wikipedia.org/wiki/102nd%20meridian%20east,90.0 102.0
http://en.wikipedia.org/wiki/102nd%20meridian%20west,90.0 -102.0
http://en.wikipedia.org/wiki/103%20Colmore%20Row,52.4751880992 -1.90091139634
http://en.wikipedia.org/wiki/103rd%20Street%20%28IND%20Eighth%20Avenue%20Line%29,40.79604 -73.96142
http://en.wikipedia.org/wiki/103rd%20Street%20%28IRT%20Broadway%20%E2%80%93%20Seventh%20Avenue%20Line%29,40.799419 -73.968158
http://en.wikipedia.org/wiki/103rd%20Street%20%28IRT%20Lexington%20Avenue%20Line%29,40.79029 -73.947687
http://en.wikipedia.org/wiki/103rd%20Street%20%E2%80%93%20Beverly%20Hills%20%28Metra%29,41.7069 -87.6071
http://en.wikipedia.org/wiki/103rd%20Street%20%E2%80%93%20Corona%20Plaza%20%28IRT%20Flushing%20Line%29,40.7432586936 -73.8576365694
http://en.wikipedia.org/wiki/103rd%20meridian%20east,90.0 103.0
http://en.wikipedia.org/wiki/103rd%20meridian%20west,90.0 -103.0
http://en.wikipedia.org/wiki/104.1%20Territory%20FM,-12.37395 130.867649
http://en.wikipedia.org/wiki/104.6%20RTL,52.504482 13.335534
http://en.wikipedia.org/wiki/104.7%20%28Canberra%29,-35.271998912 149.091999632
http://en.wikipedia.org/wiki/1040%20Fifth%20Avenue,40.781061 -73.960712
http://en.wikipedia.org/wiki/1049%205th%20Avenue,40.781184 -73.959864
http://en.wikipedia.org/wiki/104th%20Street%20%28BMT%20Jamaica%20Line%29,40.695184 -73.843231
http://en.wikipedia.org/wiki/104th%20Street%20%28IND%20Fulton%20Street%20Line%29,40.682233 -73.837352
http://en.wikipedia.org/wiki/104th%20meridian%20east,90.0 104.0
http://en.wikipedia.org/wiki/104th%20meridian%20west,90.0 -104.0
http://en.wikipedia.org/wiki/105%20Campestre%20Torre%20A,20.545385 -100.412191
http://en.wikipedia.org/wiki/105%20Campestre%20Torre%20B,20.545411 -100.412018
http://en.wikipedia.org/wiki/105%20Mile%20House,51.6999972 -121.3166654
http://en.wikipedia.org/wiki/105%20Mile%20Post%20Indian%20Reserve%20No.%202,50.7333304 -121.3166654
http://en.wikipedia.org/wiki/105%20Street%2C%20Edmonton,53.521164582 -113.489498042
http://en.wikipedia.org/wiki/105.2%20Smooth%20Radio,55.8618 -3.8725
http://en.wikipedia.org/wiki/105.7%20ABC%20Darwin,-12.408675032 130.968231127
http://en.wikipedia.org/wiki/105th%20meridian%20east,90.0 105.0
http://en.wikipedia.org/wiki/105th%20meridian%20west,90.0 -105.0
http://en.wikipedia.org/wiki/106%20Jack%20FM%20%28Hertfordshire%29,-12.463662 130.844277
http://en.wikipedia.org/wiki/106%20Jack%20FM%20%28Oxfordshire%29,51.777965 -1.270548
http://en.wikipedia.org/wiki/106.1%20Kiss%20FM,19.2999988 -81.3833318
http://en.wikipedia.org/wiki/106.1%20Rock%20Radio,53.470053 -2.28766
http://en.wikipedia.org/wiki/106.3%20Bridge%20FM,51.504665 -3.570254
http://en.wikipedia.org/wiki/106.4%20FM%20Radio%20Gold,28.620965 77.210812
http://en.wikipedia.org/wiki/106.5%20Central%20Radio,53.64637 -3.017229
http://en.wikipedia.org/wiki/106.7%20FM%20Rockklassiker,59.332788 18.064488
http://en.wikipedia.org/wiki/1062%20ABC%20Riverland,34.170376 140.749841
http://en.wikipedia.org/wiki/106th%20Street%20%28IND%20Second%20Avenue%20Line%29,40.791569 -73.944676
http://en.wikipedia.org/wiki/106th%20meridian%20east,90.0 106.0
http://en.wikipedia.org/wiki/106th%20meridian%20west,90.0 -106.0
http://en.wikipedia.org/wiki/107%20Avenue%2C%20Edmonton,53.551997792 -113.639664108
http://en.wikipedia.org/wiki/107%20The%20Bee,53.750443 -2.484507
http://en.wikipedia.org/wiki/107.1%20Rugby%20FM,52.349576 -1.651597
http://en.wikipedia.org/wiki/107.7%20The%20Wolf,52.585065 -2.128141
http://en.wikipedia.org/wiki/107.8%20Radio%20Jackie,51.3801 -0.2808
http://en.wikipedia.org/wiki/107.9%20ABC%20Ballarat,37.562424 143.853427
http://en.wikipedia.org/wiki/107th%20Street%20%28Metra%20Electric%29,41.6997 -87.6089
http://en.wikipedia.org/wiki/107th%20Street%20%E2%80%93%20Beverly%20Hills%20%28Metra%29,41.7 -87.6088
http://en.wikipedia.org/wiki/107th%20meridian%20east,90.0 107.0
http://en.wikipedia.org/wiki/107th%20meridian%20west,90.0 -107.0
http://en.wikipedia.org/wiki/108%20Hospital,21.0175299299 105.856964905
http://en.wikipedia.org/wiki/108%20Mile%20Ranch%20Airport,51.735330392 -121.326332028
http://en.wikipedia.org/wiki/108%20Mile%20Ranch%2C%20British%20Columbia,51.7501969992 -121.340598638
http://en.wikipedia.org/wiki/108%20North%20State%20Street,41.883932 -87.628841
http://en.wikipedia.org/wiki/108%20Vinayaka%20Temple,10.365666 77.974294
http://en.wikipedia.org/wiki/1080%20Brickell,25.7629 -80.1923
http://en.wikipedia.org/wiki/108th%20meridian%20east,90.0 108.0
http://en.wikipedia.org/wiki/108th%20meridian%20west,90.0 -108.0
http://en.wikipedia.org/wiki/109%20%28department%20store%29,35.6557240438 139.692737229
http://en.wikipedia.org/wiki/109%20Bluevale%20Street,55.85595 -4.21506
http://en.wikipedia.org/wiki/109%20Prince%20Street,40.7217971128 -73.9929626948
http://en.wikipedia.org/wiki/109%20Street%2C%20Edmonton,53.486998052 -113.507164638
http://en.wikipedia.org/wiki/1090%20Vermont%20Avenue,38.901996392 -77.033499866
http://en.wikipedia.org/wiki/1095%20Avenue%20of%20the%20Americas,40.754621 -73.984702
http://en.wikipedia.org/wiki/109th%20meridian%20east,90.0 109.0
http://en.wikipedia.org/wiki/109th%20meridian%20west,90.0 -109.0
http://en.wikipedia.org/wiki/10th%20Armoured%20Division%20%28Germany%29,48.0880763144 9.24250569664
http://en.wikipedia.org/wiki/10th%20Avenue%20Bridge,44.973996104 -93.239665708
http://en.wikipedia.org/wiki/10th%20Cavalry%20Regiment%20%28United%20States%29,20.0200185 -75.7982129
http://en.wikipedia.org/wiki/10th%20MMC%20%E2%80%93%20Kyustendil,42.249999 23.0
http://en.wikipedia.org/wiki/10th%20Missile%20Squadron,47.502831322 -111.185665924
http://en.wikipedia.org/wiki/10th%20Street%20%28Manhattan%29,40.734258 -74.002967
http://en.wikipedia.org/wiki/10th%20Street%20%28Metro%20Transit%20station%29,44.9503378653 -93.0918262994
http://en.wikipedia.org/wiki/10th%20Ward%20of%20New%20Orleans,29.911688 -90.059834
http://en.wikipedia.org/wiki/10th%20arrondissement%20of%20Paris,48.8719681788 2.35471024782
http://en.wikipedia.org/wiki/10th%20meridian%20east,90.0 10.0
http://en.wikipedia.org/wiki/10th%20meridian%20west,90.0 -10.0
http://en.wikipedia.org/wiki/10th%20parallel%20north,10.0 0.0
http://en.wikipedia.org/wiki/10th%20parallel%20south,-10.0 0.0
http://en.wikipedia.org/wiki/10th-Anniversary%20Stadium,52.2370157186 21.0407631703
http://en.wikipedia.org/wiki/10th/Osage%20%28RTD%29,39.731924 -105.005605
http://en.wikipedia.org/wiki/11%20Churchyard%20Side%2C%20Nantwich,53.0674 -2.5214
http://en.wikipedia.org/wiki/11%20Diagonal%20Street,-26.20333252 28.041333168
http://en.wikipedia.org/wiki/11%20Downing%20Street,51.5020313252 -0.1233661732
http://en.wikipedia.org/wiki/11%20Stanwix%20Street,40.436831586 -80.003833318
http://en.wikipedia.org/wiki/11%20Westferry%20Circus,51.506 -0.0254
http://en.wikipedia.org/wiki/11-L%20Sanober,24.893379 67.028061
http://en.wikipedia.org/wiki/110%20East%20Washington%20Street,39.767422 -86.155179
http://en.wikipedia.org/wiki/110%20Grant%20Apartments,44.968996124 -93.274832234
http://en.wikipedia.org/wiki/110%20Livingston%20Street,40.691 -73.99
http://en.wikipedia.org/wiki/110%20N.%20Main%20Street,39.761426 -84.19188
http://en.wikipedia.org/wiki/110%20Tower,26.114308 -80.141643
http://en.wikipedia.org/wiki/110%20West%207th%20Building,36.148544 -95.990821
http://en.wikipedia.org/wiki/1100%20Bel%20Air%20Place,34.089832974 -118.440081573
http://en.wikipedia.org/wiki/1100%20Peachtree,33.7848 -84.3834
http://en.wikipedia.org/wiki/1100%20Wilshire,34.0522 -118.2638
http://en.wikipedia.org/wiki/1101%20Brickell,25.76335 -80.19134
http://en.wikipedia.org/wiki/1101%20New%20York%20Avenue,38.9002973 -77.0274693
http://en.wikipedia.org/wiki/110th%20Street%20%28IRT%20Lexington%20Avenue%20Line%29,40.794773 -73.944426
http://en.wikipedia.org/wiki/110th%20Street%20%28Manhattan%29,40.799261 -73.954602
http://en.wikipedia.org/wiki/110th%20meridian%20east,90.0 110.0
http://en.wikipedia.org/wiki/110th%20meridian%20west,90.0 -110.0
http://en.wikipedia.org/wiki/111%20Eighth%20Avenue,40.738163714 -74.001833326
http://en.wikipedia.org/wiki/111%20First%20Street,40.7208 -74.0375
http://en.wikipedia.org/wiki/111%20George%20Street,-27.472541 153.025456
http://en.wikipedia.org/wiki/111%20Huntington%20Avenue,42.3413953011 -71.0754763648
http://en.wikipedia.org/wiki/111%20Piccadilly,53.4792 -2.2326
http://en.wikipedia.org/wiki/111%20South%20Wacker%20Drive,41.874829834 -87.63583079
http://en.wikipedia.org/wiki/111%20Street%2C%20Edmonton,53.421498314 -113.509831294
http://en.wikipedia.org/wiki/111%20Sussex%20Drive,45.4372782509 -75.6901272395
http://en.wikipedia.org/wiki/111/112%20Avenue%2C%20Edmonton,53.553997784 -113.65499738
http://en.wikipedia.org/wiki/1111%2019th%20Street,38.904209 -77.0430636
http://en.wikipedia.org/wiki/1111%20Pennsylvania%20Avenue,38.8953041 -77.0276839
http://en.wikipedia.org/wiki/1111%20Third%20Avenue,47.603997584 -122.334331996
http://en.wikipedia.org/wiki/111th%20Street%20%28BMT%20Jamaica%20Line%29,40.696876 -73.837223
http://en.wikipedia.org/wiki/111th%20Street%20%28IND%20Fulton%20Street%20Line%29,40.684673 -73.831129
http://en.wikipedia.org/wiki/111th%20Street%20%28IRT%20Flushing%20Line%29,40.7510253292 -73.8533782531
http://en.wikipedia.org/wiki/111th%20Street%20%E2%80%93%20Morgan%20Park%20%28Metra%29,41.6933 -87.6704
http://en.wikipedia.org/wiki/111th%20meridian%20east,90.0 111.0
http://en.wikipedia.org/wiki/111th%20meridian%20west,90.0 -111.0
http://en.wikipedia.org/wiki/112%20Tryon%20Plaza,35.227 -80.8438
http://en.wikipedia.org/wiki/1125%2017th%20Street,39.7497 -104.9944
http://en.wikipedia.org/wiki/112th%20Street%20%28Manhattan%29,40.797713 -73.94773
http://en.wikipedia.org/wiki/112th%20Street%20Bridge,42.7717 -73.6817
http://en.wikipedia.org/wiki/112th%20meridian%20east,90.0 112.0
http://en.wikipedia.org/wiki/112th%20meridian%20west,90.0 -112.0
http://en.wikipedia.org/wiki/113/114%20Street%2C%20Edmonton,53.492331364 -113.519831254
http://en.wikipedia.org/wiki/1138%20Aleppo%20earthquake,36.2166658 37.166666
http://en.wikipedia.org/wiki/1138%20Peachtree,33.786 -84.383
http://en.wikipedia.org/wiki/113th%20meridian%20east,90.0 113.0
http://en.wikipedia.org/wiki/113th%20meridian%20west,90.0 -113.0
http://en.wikipedia.org/wiki/114th%20Pennsylvania%20Infantry,39.8034801194 -77.2487656716
http://en.wikipedia.org/wiki/114th%20meridian%20east,90.0 114.0
http://en.wikipedia.org/wiki/114th%20meridian%20west,90.0 -114.0
http://en.wikipedia.org/wiki/1152%20Clyde%202,55.904717 -4.409677
http://en.wikipedia.org/wiki/115th%20Street%20%E2%80%93%20Morgan%20Park%20%28Metra%29,41.684803 -87.671456
http://en.wikipedia.org/wiki/115th%20meridian%20east,90.0 115.0
http://en.wikipedia.org/wiki/115th%20meridian%20west,90.0 -115.0
http://en.wikipedia.org/wiki/116%20Hospital%20Street%2C%20Nantwich,53.0658 -2.5164
http://en.wikipedia.org/wiki/1166%20%28building%29,40.757038 -73.982073
http://en.wikipedia.org/wiki/116th%20Street%20%28IND%20Eighth%20Avenue%20Line%29,40.804389 -73.955412
http://en.wikipedia.org/wiki/116th%20Street%20%28IND%20Second%20Avenue%20Line%29,40.802098 -73.949625
http://en.wikipedia.org/wiki/116th%20Street%20%28IRT%20Lenox%20Avenue%20Line%29,40.802 -73.95
http://en.wikipedia.org/wiki/116th%20Street%20%28IRT%20Lexington%20Avenue%20Line%29,40.798607 -73.942022
http://en.wikipedia.org/wiki/116th%20Street%20%28Manhattan%29,40.8013366 -73.948073
http://en.wikipedia.org/wiki/116th%20Street%20%E2%80%93%20Columbia%20University%20%28IRT%20Broadway%20%E2%80%93%20Seventh%20Avenue%20Line%29,40.808 -73.964
http://en.wikipedia.org/wiki/116th%20meridian%20east,90.0 116.0
http://en.wikipedia.org/wiki/116th%20meridian%20west,90.0 -116.0
http://en.wikipedia.org/wiki/117th%20meridian%20east,90.0 117.0
http://en.wikipedia.org/wiki/117th%20meridian%20west,90.0 -117.0
http://en.wikipedia.org/wiki/118%20Avenue%2C%20Edmonton,53.559497762 -113.637164118
http://en.wikipedia.org/wiki/1180%20Peachtree,33.785496858 -84.383665132
http://en.wikipedia.org/wiki/118th%20Street%20%28Manhattan%29,40.801888 -73.94523
http://en.wikipedia.org/wiki/118th%20meridian%20east,90.0 118.0
http://en.wikipedia.org/wiki/118th%20meridian%20west,90.0 -118.0
http://en.wikipedia.org/wiki/119/122%20Street%2C%20Edmonton,53.39083177 -113.537831182
http://en.wikipedia.org/wiki/119th%20Street%20%E2%80%93%20Blue%20Island%20%28Metra%29,41.6764 -87.6726
http://en.wikipedia.org/wiki/119th%20meridian%20east,90.0 119.0
http://en.wikipedia.org/wiki/119th%20meridian%20west,90.0 -119.0
http://en.wikipedia.org/wiki/11th%20Louisiana%20Regiment%20Infantry%20%28African%20Descent%29,32.44 -91.1
http://en.wikipedia.org/wiki/11th%20MMC%20%E2%80%93%20Lovech,43.0 24.499998
http://en.wikipedia.org/wiki/11th%20Milestone,54.240499038 -4.591330968
http://en.wikipedia.org/wiki/11th%20Street%20%28NICTD%29,41.706997172 -86.892163098
http://en.wikipedia.org/wiki/11th%20Street%20%28SEPTA%20Market%E2%80%93Frankford%20Line%20station%29,39.952076 -75.156612
http://en.wikipedia.org/wiki/11th%20Street%20Bridges,38.872 -76.9893
http://en.wikipedia.org/wiki/11th%20Ward%20of%20New%20Orleans,29.911718 -90.057891
http://en.wikipedia.org/wiki/11th%20arrondissement%20of%20Paris,48.8552032458 2.374248503
